id_articulo,titulo,autores,afiliaciones,palabras_clave,tematica
Art10-Vol24,Socialización de la información y el conocimiento en la Web,Rafael Oliva-Santos,Facultad de Matemática y Computación. Universidad de La Habana,,Desarrollo de la Web y socialización de información
CMVol34No1-000-001,Modelos Matemáticos en el análisis de la COVID-19,Miriam Nicado García|Aymée Marrero Severo,Universidad de La Habana,,Modelos matemáticos en epidemiología
CMVol34No1-001-012,Modelos SIR para el seguimiento de la COVID-19 en Cuba,Raúl Guinovart Díaz|Isidro A. Abelló Ugalde|Wilfredo Morales Lezca|Julian Bravo Castillero|Reinaldo Rodríguez Ramos|David Guinovart Sanjuán,"Departamento de Matemática, Universidad de La Habana, La Habana, Cuba|Centro de Estudios para el Perfeccionamiento de la Educación Superior, Universidad de La Habana, La Habana, Cuba|Unidad Académica del Instituto de Investigaciones en Matemáticas Aplicadas y en Sistemas en Yucatán. Universidad Nacional Autónoma de México|Department of Mathematics, University of Central Florida, 4393 Andromeda Loop N, Orlando, FL 32816, USA",Endemia|COVID-19|modelos SIR|número reproductivo básico|rebrote,Modelos SIR para epidemias de COVID-19
CMVol34No1-013-018,Modelo SEAIR con percepción de riesgo para la CoVid19. Caso Cuba,Aymée Marrero Severo|Daniel Menció Padrón|Gabriela Bayolo Soler,"Departamento de Matemática, Universidad de la Habana, La Habana, Cuba",Modelo SEAIR|CoVid19|Número Reproductivo Básico|tasa de transmisión,Modelo SEAIR para CoVid19 en Cuba
CMVol34No1-019-032,Modelos fenomenológicos aplicados al estudio de la COVID-19 en Cuba,Jose Alejandro Mesejo-Chiong|Angela Mireya León-Mecías,"Departamento de Matemática Aplicada, Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba",COVID-19|Modelos fenomenológicos|Crecimiento de epidemias,Modelos fenomenológicos para COVID-19 en Cuba
CMVol34No1-033-036,Modelando la Covid-19 con solo una ecuación,Celia T. González González|Mariano Rodríguez Ricard,"Departamento de Matemática, Universidad de La Habana, La Habana, Cuba",modelo SIR|dinámica de epidemia,Modelo de dinámica de epidemia con una sola ecuación
CMVol34No1-037-048,Predicciones en tiempo real de la Covid-19 en Cuba y sus provincias: Modelos fenomenológicos dinámicos y un modelo no lineal con efectos mixtos.,Carlos R. Sebrango Rodríguez|Lizet Sánchez Valdés|Waldemart Baldoquin|Osvaldo Norman Montenegro|Raúl Guinovart,"Universidad de Sancti Spíritus ""José Martí Pérez"", Centro de Estudios de Energía y Procesos Industriales (CEEPI), Cuba|Centro de Inmunología Molecular, La Habana, Cuba|Instituto de Medicina Tropical IPK, La Habana, Cuba|Centro de Bioactivos Químicos, UCLV, Villa Clara, Cuba|Universidad de La Habana, Facultad Matemática y Computación, Cuba",Covid-19|modelos fenomenológicos dinámicos|modelo no lineal con efectos mixtos,Modelos dinámicos para predecir casos de Covid-19 en Cuba
CMVol34No1-049-054,Estimación de infecciones indocumentadas de Covid-19 en Cuba a través de un método híbrido mecano-estadístico,Gabriel Gil|Alejandro Lage-Castellanos,"Departamento de Física Teórica, Instituto de Cibernética, Matemática y Física (ICIMAF), La Habana, Cuba|Departamento de Física Teórica, Facultad de Física, Universidad de La Habana, La Habana, Cuba",Covid-19|Cuba|modelos epidemiológicos de compartimentos|métodos de inferencia Bayesiana,Estimación de infecciones indocumentadas de Covid-19 en Cuba
CMVol34No1-055-065,Aplicación de modelos de crecimiento sigmoidal en el pronóstico en tiempo real del brote de la Covid-19 en Villa Clara,Osvaldo Norman Montenegro|David Rodríguez Fernández|Carlos de la Caridad Rodríguez Fadragas|Carlos Sebrango Rodríguez|Yanet Rodríguez Sarabia|Roxana Pérez García|Luis B. Lecha Estela|María del Carmen Velasco Gómez|Bárbara Rodríguez,"Centro de Bioactivos Químicos, Villa Clara, Cuba|Departamento de Física, Universidad Central Marta Abreu de Las Villas, Villa Clara, Cuba|Centro de Estudios de Energía y Procesos Industriales CEEPI, Sancti Spíritus, Cuba|Departamento de Ciencias de la Computación, Universidad Central Marta Abreu de Las Villas, Villa Clara, Cuba|Departamento de Matemática, Universidad Central Marta Abreu de Las Villas, Villa Clara, Cuba|Centro Meteorológico de la Isla de la Juventud, INSMET, Isla de la Juventud, Cuba|Delegación del CITMA en Villa Clara, Villa Clara, Cuba|Centro Provincial de Higiene, Epidemiología y Microbiología, Villa Clara, Cuba",Covid-19|modelos de crecimiento sigmoidal|SIR|pronósticos en tiempo real,Modelos de crecimiento sigmoidal para pronóstico en tiempo real de Covid-19
CMVol34No1-067-072,"Evolución de la CoVid19 a partir de un Modelo SAIRV con tasa de transmisión variable ante percepción de riesgo, cuarentena y hospitalización. Caso Cuba",Daniel Menció Padrón|Gabriela Bayolo Soler|Aymée Marrero Severo,"DepartamentodeMatemática,UniversidaddelaHabana,LaHabana,Cuba",ModeloSAIRV|CoVid19|cuarentena|hospitalización|tasadetransmisión,Modelo SAIRV para la evolución de CoVid19 en Cuba
CMVol34No1-073-087,Modelos SIR modificados para la evolución del COVID-19,Nana Cabo Bizet|Alejandro Cabo Montes de Oca,"DepartamentodeFísica, DCI, Campus León, Universidad de Guanjuato, CP.37150, León, Guanajuato, México|DepartamentodeFísica Teórica, InstitutodeCibernética, MatemáticayFísica, Calle E, No.309, Vedado, La Habana, Cuba",suceptibles-infectados-recuperados|tasadecontagiovariable|tasaderecuperación,Modelos SIR modificados para COVID-19
CMVol34No1-089-097,Los Procesos de Ramificación y su Aplicación al Estudio de la Transmisión de la COVID-19 en Cuba,Marelys Crespo Navas|Pedro Pablo de la Cruz Cobas|Ernesto Quevedo Caballero|José E. Valdés Castro,"DepartamentodeMatemáticaAplicada,UniversidaddeLaHabana,LaHabana,Cuba|UniversidaddeLaHabana,LaHabana,Cuba",Covid-19|ProcesosdeRamificación|Simulación,Procesos de ramificación aplicados al estudio de la transmisión de COVID-19
CMVol34No1-099-104,Análisis espacial de la incidencia de COVID-19 en pequeñas áreas geográficas en Cuba,Patricia Lorenzo-Luaces|Antonio Torres-Reyes|Paula Fonte|Nancy Perez|Lizet Sanchez,"Dirección de Ensayos Clínicos, Centro de Inmunología Molecular, La Habana, Cuba|Facultad de Geografía, Universidad de La Habana, La Habana, Cuba|Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba",Análisis espacial|modelos bayesianos|distribución geográfica|covid19,Análisis espacial de la incidencia de COVID-19 en Cuba
CMVol34No1-105-111,COVID-19 en Cuba: Estimación del número de camas diarias que se requieren durante un período de la epidemia,Sira M. Allende Alonso|Gemayqzel Bouza Allende|William L. Sariol-Nuñez,"Departamento de Matemática Aplicada, Universidad de La Habana, Cuba",estimación|logística|número de camas,Estimación de camas para COVID-19 en Cuba
CMVol34No1-113-122,Una Aplicación del Delphi de Nube en la Percepción Subjetiva del Pico de la COVID-19,Miguel Cruz Ramírez,"Departamento de Matemática, Universidad de Holguín, Cuba",COVID-19|Delphi de Nube|percepción|modelos gausianos mixtos|paquete R,Aplicación del Delphi de Nube en la percepción subjetiva del pico de la COVID-19
CMVol34No1-123-127,Predicción a corto plazo del comportamiento de la COVID-19 en Cuba: Un análisis desde la perspectiva del Aprendizaje Automático.,Héctor González|Carlos Morell|Yanet Rodríguez,"Facultad 2, Universidaddelas Ciencias Informáticas, La Habana, Cuba|Centro de Investigaciones dela informática, Universidad Central 'Marta Abreu' de Las Villas, Villa Clara, Cuba|Departamentode Ciencias dela computación, Universidad Central Marta Abreude Las Villas, Villa Clara, Cuba",,Predicción de COVID-19 en Cuba con Aprendizaje Automático
CMVol34No1-129-136,Un modelo multinivel para la predicción del total de casos confirmados de COVID-19 en Cuba: comparación con otros países,Minerva Montero Díaz,"Dpto. de Matemática, Instituto de Cibernética, Matemática y Física, La Habana, Cuba",COVID-19|Coronavirus|Modelos multinivel|Predicción,Modelos multinivel para predecir casos de COVID-19
CMVol34No1-137-142,Modelo matemático de la interacción virus-sistema inmune con activación de células NK,Annia Ruiz Sánchez|Erick Eduardo Ramirez-Torres|Antonio Rafael Selva Castañeda|Sandy Sánchez Domínguez|Roberto Labrada-Claro|Marlon Cobas-Batista|Luis Enrique Bergues Cabrales|Luis Eugenio Valdés García|Isabel Martén Powell|Antonio Iván Ruiz Chaveco,"Departamento de Matemática, Facultad de Ciencias Naturales y Exactas, Universidad de Oriente, Cuba|Departamento de Ingeniería Biomédica, Facultad de Ingeniería en Telecomunicaciones, Informática y Biomédica, Universidad de Oriente, Santiago de Cuba, Cuba|Departamento de Telecomunicaciones, Facultad de Ingeniería en Telecomunicaciones, Informática y Biomédica, Universidad de Oriente, Santiago de Cuba, Cuba|Dirección de Ciencia e Innovación Tecnológica, Centro Nacional de Electromagnetismo Aplicado, Universidad de Oriente, Santiago de Cuba, Cuba|Centro Provincial de Higiene, Epidemiología y Microbiología, Santiago de Cuba, Cuba|Universidad de Ciencias Médicas de Santiago de Cuba, Cuba",Célula NK|Modelo Matemático|Sistema Inmune|Virus,Modelo matemático de interacción virus-sistema inmune con activación de células NK
CMVol34No1-143-151,Análisis de la epidemia de COVID-19 en Cuba por medio del seguimiento de los pacientes infectados y sus contactos,Mijail Borges Quintana|Eloy Rafael Oliveros Domínguez,"Departamento de Matemática, Facultad de Ciencias Naturales y Exactas, Universidad de Oriente, Santiago de Cuba, Cuba|Dirección de Informatización, Universidad de Oriente, Santiago de Cuba, Cuba",COVID-19 en Cuba|comparación de localidades|medidas de comparación,Análisis de la COVID-19 en Cuba por seguimiento de pacientes y contactos
CMVol35No1-2021-pp1-pp8,2 Autoridad de certificación de la Facultad de Matemática y Computación de la Universidad de la Habana,Yavseny Roque Hernández|DraC Teresa Bernarda Pagés López|Yaidir Mustelier Ruiz,Instituto de Criptografía|Facultad de Matemática y Computación|Universidad de la Habana|Cuba,Seguridad|Servicios|Certificados,Autoridad de certificación para emisión de certificados digitales
CMVol35No1-2021-pp21-pp26,Acerca del criptoanálisis a cifrados en bloques mediante el Algoritmo Genético,Miguel A. Borges Trenard|Mijail Borges Quintana|Adrian Donatien Charón,"DepartamentodeEducaciónenMatemática,UniversidadAntonioNariño,Bogota,Colombia|DepartamentodeMatemática,UniversidaddeOriente,SantiagodeCuba,Cuba|DepartamentodeMatemática,UniversidaddeOriente,SantiagodeCuba,Cuba",criptoanálisis|cifradoenbloque|algoritmogenético,Criptoanálisis de cifrados en bloques con algoritmo genético
CMVol35No1-2021-pp27-pp35,Midiendo la legitimidad del usuario autenticado en sistemas de Autenticacio´n Gra´fica “Cued Recall”,Pedro Enrique Navarro Sosa|Carlos Miguel Lego´n Pe´rez|Raisa Socorro Llanes,"Instituto de Criptograf´ıa, Universidad de La Habana, La Habana, Cuba|Facultad de Ingenier´ıa Informa´tica, Universidad Tecnolo´gica de La Habana, La Habana, Cuba",Autenticacio´n Gra´fica|Graphical Autentication|Modelo Probabil´ıstico|Probabilistic Model|Cued Recall,Medición de autenticidad en sistemas de autenticación gráfica
CMVol35No1-2021-pp37-pp40,Criptoanálisis algebraico a cifrados en bloques ligeros,Roberto Labrada Claro|Miguel Angel Borges Trenard|Mijail Borges Quintana,"Dirección de Criptografía, Ministerio del Interior, Santiago de Cuba, Cuba|Departamento de Matemática, Universidad de Oriente, Santiago de Cuba, Cuba",cifrados en bloques ligeros|criptoanálisis algebraico|base de Gröbner,Criptoanálisis algebraico de cifrados en bloques ligeros
CMVol35No1-2021-pp41-pp45,Integración de curvas elípticas criptográficamente seguras al EJBCA,Arlet Ponce Alvarez|Teresa B. Pagés López|Yessica C. Castaño Sainz|Camilo Denis González,"Instituto de Criptografía, Universidad de La Habana, La Habana, Cuba",criptografía asimétrica|curvas elípticas|software EJBCA|biblioteca BouncyCastle,Integración de curvas elípticas criptográficas en EJBCA
CMVol35No1-2021-pp47-pp53 (1),Análisis y diseño de variantes del criptoanálisis a cifrados en bloques mediante el Algoritmo Genético,Osmani Tito Corrioso|Miguel A. Borges Trenard|Mijail Borges Quintana,"Departamento de Matemática, Facultad de Ciencias de la Educación, Universidad de Guantánamo, Cuba|Departamento de Matemática, Facultad de Ciencias Naturales y Exactas, Universidad de Oriente, Cuba",Algoritmo Genético|grupocociente|criptoanálisis|AES(t),Criptoanálisis de cifrados en bloques con Algoritmo Genético
CMVol35No1-2021-pp47-pp53,Análisis y diseño de variantes del criptoanálisis a cifrados en bloques mediante el Algoritmo Genético,Osmani Tito Corrioso|Miguel A. Borges Trenard|Mijail Borges Quintana,"Departamento de Matemática, Facultad de Ciencias de la Educación, Universidad de Guantánamo, Cuba|Departamento de Matemática, Facultad de Ciencias Naturales y Exactas, Universidad de Oriente, Cuba",Algoritmo Genético|grupocociente|criptoanálisis|AES(t),Criptoanálisis de cifrados en bloques con Algoritmo Genético
CMVol35No1-2021-pp9-pp19 (1),Mejorando la seguridad de la implementación de la multiplicación escalar para curvas generales en forma de Weierstrass en Bouncy Castle,Yessica C. Castaño Sainz|Carlos M. Legón Pérez|Teresa B. Pagés López,"Departamentode Criptografía, Universidad de La Habana, La Habana, Cuba",Curvaselípticas|multiplicaciónescalar|tiempoconstante|libredeexcepciones|fórmulacompleta,Implementación de aritmética para curvas elípticas en Bouncy Castle
CMVol35No1-2021-pp9-pp19,Mejorando la seguridad de la implementación de la multiplicación escalar para curvas generales en forma de Weierstrass en Bouncy Castle,Yessica C. Castaño Sainz|Carlos M. Legón Pérez|Teresa B. Pagés López,"Departamentode Criptografía, Universidad de La Habana, La Habana, Cuba",Curvaselípticas|multiplicaciónescalar|tiempoconstante|libredeexcepciones|fórmulacompleta,Implementación de aritmética para curvas elípticas en Bouncy Castle
CMVol35No2-2021-pp101-pp110,Cohomología de Hochschild del Álgebra de Matrices Triangulares,Beatriz de Rancell Montero Deus|José Fidel Hernández Advíncula,"DepartamentodeMatemática,UniversidaddeLaHabana,Cuba",CohomologíadeHochschild|Extensiónporunpunto|ÁlgebradeMatricesTriangulares|HochschildCohomology|Onepointextension|TriangularMatrixAlgebras,Cohomología de Hochschild de álgebras triangulares
CMVol35No2-2021-pp111-pp122,OpenLatinoMurciaClient: SIG Web con tecnologías abiertas,Aracelys García Armenteros|Joanna Campbell Amos|Vivian Plasencia Calaña,"Departamento de Programación e Ingeniería de software, Universidad de la Habana, La Habana, Cuba|Trabajador por cuenta propia",SIG Web|OpenLatinoView|OpenLatinoServer,Desarrollo de SIG Web con tecnologías abiertas
CMVol35No2-2021-pp123-pp130,Alternativa metodológica para la autopreparación de concursantes de Matemática,Ernesto A. López Cadalso|María C. Rivalta Valladares|Yasser Martin Guillén|Mercedes M. Leal Acosta|Nelson T. Hernández Reyes,"Departamento de Matemática-Física, Facultad de Ciencias Naturales y Exactas, Universidad de Ciencias Pedagógicas ""Enrique José Varona"", La Habana, Cuba|Facultad de Matemática y Computación MATCOM, Universidad de La Habana, La Habana, Cuba|Universidad de Ciencias Pedagógicas ""Enrique José Varona"", La Habana, Cuba|Centro de Estudio de Matemática para Ciencias Técnicas, Universidad Tecnológica de la Habana ""José Antonio Echevarria"", La Habana, Cuba",Alternativa metodológica|autopreparación|concursante,Alternativa metodológica para la autopreparación de concursantes de Matemática
CMVol35No2-2021-pp131-pp137,"Mathematical study of toxin elimination by the liver, circulatory system and the kidneys",Annia Valiente Monte de Oca|Sandy Sánchez Domínguez|Antonio Iván Ruiz Chaveco|Isabel Martén Powell,"Mathematics department. Faculty of Education Sciences. Guantánamo University. Cuba|Mathematics department. Faculty of Natural and Exact Sciences, University of Oriente. Santiago de Cuba, Cuba|University of the State of Amazonas, Brazil|Universidad de Ciencias Médicas de Santiago de Cuba, Cuba",Mathematical model|quasi-normal form|toxin elimination,Mathematical model of toxin elimination
CMVol35No2-2021-pp55-pp64,Ana´lisis de sensibilidad del Modelo de Bahill Aplicado a movimientos saca´dicos en pacientes ata´xicos,Camilo Mora Batista|Rafael M. A´vila A´vila|Rosa Isabel Urquiza Salgado|E´fren Va´zquez Silva,"DepartamentodeLicenciaturaenMatema´tica, Universidad de Holgu´ın, Holgu´ın, Cuba|DepartamentodeMatema´tica, Universidad de Holgu´ın, Holgu´ın, Cuba|Universidad Polite´cnica Salesiana, Sede Cuenca. Carrera de Ingenier´ıa Meca´nica. Campus El Vecino. Calle Vieja, 12-30y Elia Liut, Cuenca, Ecuador",ModeloMatema´tico|AtaxiaHereditaria|Simulacio´n|SistemadeEcuacionesDiferenciales|Ana´lisisdeSensibili- dad,Análisis de sensibilidad del Modelo de Bahill para movimientos sacádicos en pacientes atáxicos
CMVol35No2-2021-pp65-pp72,Acerca del problema homoge´neo de Dirichlet para campos electromagne´ticos en dominios con fronteras fractales: caso quiral.,Luis Manuel A´vila Na´polez|Rafael M. A´vila A´vila|Ricardo Abreu Blaya,"DepartamentodeMatema´tica,UniversidaddeHolgu´ın,Holgu´ın,Cuba|DepartamentodeLicenciaturaenMatema´tica,UniversidaddeHolgu´ın,Holgu´ın,Cuba|FacultaddeMatema´tica,UniversidadAuto´nomadeGuerrero,Guerrero,Me´xico",Problemasdevaloresdefrontera|Ana´lisisCuaternio´nico|camposelectromagne´ticos|mediosquirales,Problema de Dirichlet para campos electromagnéticos en dominios con fronteras fractales y quirales
CMVol35No2-2021-pp73-pp79,Algebras triangulares l-hereditarias de tipo de representación manso,MSc. Beatriz Pérez López|Dr.C. José Fidel Hernández Advíncula,"Departamento de Matemática-Física, Universidad 'José Martí' de Sancti Spíritus, Sancti Spíritus, Cuba|Departamento de Matemática, Universidad de La Habana, La Habana, Cuba",Álgebras de incidencia|álgebra l-hereditaria|tipo de representación,Estudios de álgebras localmente hereditarias a través de sus relaciones con posets y álgebras de incidencia
CMVol35No2-2021-pp81-pp90,Desarrollo de la nueva versión multiplataforma de OpenLatino Server (OLS),Frankie Mujica Cal|Joanna Campbell Amos|Eduardo Quesada Orozco,"Departamento de Programación e Ingeniería de software, Universidad de la Habana, La Habana, Cuba",SIG|ASP.NETCore|WMS|Multiplataforma|Framework,Desarrollo de servidor de mapas multiplataforma
CMVol35No2-2021-pp91-pp99,New proposal to adjust the internal rank in the documents clustering by Non Negative Matrix Factorizations,Iosvanny Jesús Alfonso Veloso|Dra. Marta Lourdes Baguer Díaz-Romañach|Dra. Lydia Castro Odio,"Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba|Facultad de Artes y Letras, Universidad de La Habana, La Habana, Cuba",Corpus|Factorización|Agrupamiento,Agrupamiento de documentos mediante Factorizaciones No Negativas de Matrices
"MAT+23(1-2)05-1,+pp.+3-15",G-PRESENTACIONES DEL GRUPO SIMÉTRICO,Juana E. Bermúdez Sosa|Miguel A. Borges Trenard,"Departamento de Matemática, Facultad de Matemática y Computación, Universidad de Oriente",,G-presentaciones del grupo simétrico
"MAT+23(1-2)05-4,+pp.+45-53",UNA VARIANTE DEL MÉTODO DE LINEALIZACIÓN LOCAL PARA LA INTEGRACIÓN DE ECUACIONES DIFERENCIALES ESTOCÁSTICAS CON RESPECTO A SEMIMARTINGALAS,Luis A. Salomón Hernández|Rolando J. Biscay Lirio,"Departamento de Matemática Aplicada, Universidad de la Habana, Facultad de Matemática y Computación|Instituto de Cibernética, Matemática y Física (ICIMAF)",Semimartingalas|Linealización Local|Convergencia ucp,Método de Linealización Local para ecuaciones diferenciales estocásticas con semimartingalas
"MAT+23(1-2)05-5,+pp.+54-64",LA FUNCIÓN DE VEROSIMILITUD SUAVIZADA EN MODELOS DE REGRESIÓN,Lilian Muñiz Álvarez|Rolando J. Biscay Lirio,"Facultad de Matemática y Computación, Universidad de La Habana|Instituto de Cibernética, Matemática y Física (ICIMAF)",función de verosimilitud suavizada|modelos de regresión|consistencia de estimadores,Modificación de la función de verosimilitud en modelos de regresión
"MAT+23(1-2)5-10,+pp.+94-105",CONTRIBUCIONES ABELIANAS AL ANÁLISIS MATEMÁTICO,Carlos Sánchez Fernández,Universidad de La Habana. Cuba,,Influencia de Abel en el análisis matemático del siglo XIX
"MAT+23(1-2)5-11,+pp.+106-109",UN ENFOQUE GEOMÉTRICO PARA INTRODUCIR EL CONCEPTO DE CAMPO CENTRAL DE LA MECÁNICA CLÁSICA,Jorge Erick López Velázquez|Julián Bravo Castillero|Reinaldo Rodríguez Ramos,"Facultad de Matemática y Computación, Universidad de La Habana, Ciudad de La Habana, Cuba",,Enfoque geométrico para introducir el concepto de campo central de la mecánica clásica
"MAT+23(1-2)5-2,+pp.+16-24",ON THE MODULAR REPRESENTATIONS OF GROUP WITH p-COMPLEMENT,Pedro Domínguez Wade|Jesús Barreto Molina,"Universidad de Matanzas, Cuba|Universidad Pedagógica de Villa Clara, Cuba",,Modular representations of groups with p-complement
"MAT+23(1-2)5-3,+pp.+25-44",SOLUCIÓN DE UN PROBLEMA DE CONTORNO COMPLEJO PARA LAS ECUACIONES DE TIPO ELÍPTICO,Lorgio F. Batard|Otilio B. Mederos|Andro Gonzáles,"Departamento de Matemática, Universidad Central de Las Villas, Santa Clara, Villa Clara, Cuba|Universidad de Ciego de Ávila, Ciego de Ávila, Cuba",,Solución de problemas elípticos con condiciones de contorno complejas
"MAT+23(1-2)5-7,+pp.+65-75",UN ENFOQUE UNIFICADO PARA TÉCNICAS DE REPRESENTACIÓN EUCLIDIANA,Elina Miret Barroso|Gladys Linares Fleites|María V. Mederos Brú,"Facultad de Matemática y Computación, Universidad de La Habana",,Escalamiento Multidimensional y representación euclidiana
"MAT+23(1-2)5-8,+pp.+76-83",ALGUNAS NOTAS SOBRE LAS PROPIEDADES EFECTIVAS DE COMPUESTOS LAMINADOS TERMOPIEZOELÉCTRICOS,Esperanza García Santoyo|Julián Bravo Castillero|Reinaldo Rodríguez Ramos|Federico J. Sabina|Raúl Martínez Rosado,"Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba|Instituto de Investigaciones en Matemáticas Aplicadas y Sistemas, Universidad Nacional Autónoma de México, México, D. F., México|Instituto Superior de Estudios Superiores de Monterrey, Campus, Estado de México, Escuela de Ingeniería y Computación, Estado de México, México",,Propiedades efectivas de medios laminados termopiezoeléctricos
"MAT+23(1-2)5-9,+pp.+84-93",EL LEGADO DE JACOBO BERNOULLI A LA CIENCIA DEL CÁLCULO (UN RECONOCIMIENTO EN EL 300 ANIVERSARIO DE SU MUERTE),Concepción Valdés Castro,Universidad de la Habana,,Legado de Jacob Bernoulli al cálculo
"RCM+Vol+36,+No+Unico,+2022-2023,+pp.+100-101",Análisis Funcional lineal,"Roldán Inguanzo, R.","Departamento de Matemática, Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba",,Análisis Funcional lineal
"RCM+Vol+36,+No+Unico,+2022-2023,+pp.+103-104","Taller Internacional sobre Álgebra Computacional en la Computación Científica (CASC), La Habana, 2023",Valentina Badía Albanés,"Departamento de Matemática, Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba",,Álgebra computacional en la computación científica
"RCM+Vol+36,+No+Unico,+2022-2023,+pp.+105-106","XVIII Congreso Internacional de Matemática y Computación, Compumat 2023, La Habana, 2023",Luis Ramiro Piñeiro Díaz,"Instituto de Criptografía, Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba",,Congreso Internacional de Matemática y Computación
"RCM+Vol+36,+No+Unico,+2022-2023,+pp.+51-56 (1)",Evaluación de habilidades cognitivas de diversos modelos de lenguajes a gran escala,Kevin Talavera Díaz|Alberto Fernández Oliva|Suilán Estévez Velarde,"Departamento de Computación, Facultad de Matemática y Computación, Universidad de La Habana, Cuba",habilidades cognitivas|procesamiento del lenguaje natural|LLM,Evaluación de habilidades cognitivas de LLM
